station_name,latitude,longitude,operator,source,notes
Synthetic Site 01 (Statiq),19.107476,72.826888,Statiq,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 02 (ChargeZone),19.128819,72.83246,ChargeZone,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 03 (Ather Grid),19.130997,72.827015,Ather Grid,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 04 (Jio-bp Pulse),19.110168,72.827374,Jio-bp Pulse,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 05 (BPCL Energy Station),19.115796,72.815209,BPCL Energy Station,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 06 (Kazam),19.134905,72.842955,Kazam,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 07 (Zeon Charging),19.130135,72.831955,Zeon Charging,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 08 (Tata Power EZ Charge),19.114468,72.816958,Tata Power EZ Charge,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 09 (Statiq),19.131909,72.832562,Statiq,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 10 (ChargeZone),19.107747,72.844831,ChargeZone,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 11 (Ather Grid),19.132551,72.832559,Ather Grid,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 12 (Jio-bp Pulse),19.121437,72.84246,Jio-bp Pulse,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 13 (BPCL Energy Station),19.124617,72.825167,BPCL Energy Station,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 14 (Kazam),19.105171,72.846511,Kazam,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 15 (Zeon Charging),19.121729,72.819721,Zeon Charging,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
Synthetic Site 16 (Tata Power EZ Charge),19.105312,72.840772,Tata Power EZ Charge,synthetic_generated,"Synthetic placeholder, not sourced from PlugShare/Google Maps or any real observation. Deterministically generated (seed=20240601) to populate the 'existing stations' layer for pipeline development and demo purposes. Replace with a real manually curated CSV before drawing real-world conclusions."
